,Titulo,Precio,Imagen
10,"Computador Portátil HP 14"" Pulgadas Em0021la AMD Ryzen 5 - RAM 16GB - Disco SSD 512 GB- Azul",,https://www.alkosto.com/medias/198415262431-001-310Wx310H?context=bWFzdGVyfGltYWdlc3wxMDUyOHxpbWFnZS93ZWJwfGFETmhMMmczTmk4eE5EVXdPREUxTnpNM01ETTVPQzh4T1RnME1UVXlOakkwTXpGZk1EQXhYek14TUZkNE16RXdTQXwxZjQyZGQ4Yzg2ZjJkMGY2NTg0OWE2MTg5MzI5ZmVlOTY5YTIyNTY1MDg3NjkwNGIwOWU0ODFkZjY0Y2Y4M2Qz
11,"Computador Portátil ACER ASPIRE 16"" Pulgadas 74TU - Intel Core i7 - RAM 16GB - Disco SSD 512GB - Plata",,https://www.alkosto.com/medias/4711474032997-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w2ODIwfGltYWdlL3dlYnB8YUdKaEwyaGpNeTh4TkRVNE9EWTRORFF3TWpjeE9DODBOekV4TkRjME1ETXlPVGszWHpBd01WOHpNVEJYZURNeE1FZ3w0MzAzYTE0ZWFjZTQwYjUwZGY5ZDEwYjQyNWMyZjJmNzhkYzNmNjBiNjY0MjU4ODMyZjBmMmQ2ZjFlZjI5MDgz
12,"Computador Portátil Gamer HP Victus 15.6"" Pulgadas Fb2002la AMD Ryzen 5 - RAM 8GB - Disco SSD 512GB - Gris Oscuro",,https://www.alkosto.com/medias/198122718313-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w4NzkwfGltYWdlL3dlYnB8YURabUwyaGxPQzh4TkRZek5EUTFOVGcxT1RJek1DOHhPVGd4TWpJM01UZ3pNVE5mTURBeFh6TXhNRmQ0TXpFd1NBfDY5ZTQ1ZDJmOGUzYzViMDhlMGE1M2M5ZWFiNWQyZDgzMzI0M2VkNDUxOWVkOTk5NGM3NTA1NjFhM2E3N2Y0ZGY
13,"Computador Portátil 2 en 1 HP Pavilion 14"" Pulgadas Ek0008la Intel Core i5 - RAM 8 GB - Disco SSD 512 GB- Negro",,https://www.alkosto.com/medias/198122844258-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w5MzMyfGltYWdlL3dlYnB8YURNNUwyaG1NUzh4TkRVME1EazJOVEExTWpRME5pOHhPVGd4TWpJNE5EUXlOVGhmTURBeFh6TXhNRmQ0TXpFd1NBfGQxNmNiYmVlODk2YmRhMjFmZDc2MDZiNTJmNDM4ZmIyOGI0YjAzMGIyNTZhZDk3YTZiNTAwYWM4MWZhOTBjNmM
14,"Computador Portátil ASUS Vivobook 15.6"" Pulgadas X1504ZA - Intel Core i5 - RAM 8GB - Disco SSD 512 GB - Azul",,https://www.alkosto.com/medias/4711387276068-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w1NjIwfGltYWdlL3dlYnB8YURKaEwyZ3pOUzh4TkRRNU1UUTRPVEEzTlRJek1DODBOekV4TXpnM01qYzJNRFk0WHpBd01WOHpNVEJYZURNeE1FZ3wwMDFkNWM5MGJlZTU1ZTcyYWNhN2MxNDQyZDFmMzRmNTdiN2NhZTE0NDc3ZGMyNzNlMWIxZjAxNWE1NjVjMjU0
15,"Computador Portátil ACER ASPIRE 14"" Pulgadas 353Y Intel Core i3 - RAM 8GB - Disco SSD 512GB - Plateado",,https://www.alkosto.com/medias/4711121676444-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w3MzU2fGltYWdlL3dlYnB8YURkaEwyZ3dZaTh4TkRNMk56VXlNek13TnpVMU1DODBOekV4TVRJeE5qYzJORFEwWHpBd01WOHpNVEJYZURNeE1FZ3xlNzFiZDlhNTdiMTBjMDg4MjIxNjY4NDBkZDZmYjU3ZDQxNDZlNTZlYzE0YzEzZDg2M2ZhOTc5YjQ2MjlmYjJm
16,"Computador All In One LENOVO 23,8"" Pulgadas AIO 3 - Intel Core i5 - RAM 8GB - Disco SSD 512GB - Negro",,https://www.alkosto.com/medias/197529590034-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w5MTA4fGltYWdlL3dlYnB8YUdFd0wyZ3pPQzh4TkRNMU1qRXlNVEkyTmpJd05pOHhPVGMxTWprMU9UQXdNelJmTURBeFh6TXhNRmQ0TXpFd1NBfGM4NjJkZjVkZTY5MmI0OWY4YzliNjBmOTliZWNkNWQ0OGE3ODhkZDdmZjViYjg0OTI3MmNhNWNhYTNjY2Q3NTA
17,"Computador All In One LENOVO IdeaCentre AIO 3 27"" Pulgadas 27IAP7 - Intel Core i3 - RAM 8GB - Disco SSD 512GB - Negro",,https://www.alkosto.com/medias/198153022670-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w1NDg2fGltYWdlL3dlYnB8YUdWakwyZ3pZaTh4TkRZME9UUTNOemMxT1RBd05pOHhPVGd4TlRNd01qSTJOekJmTURBeFh6TXhNRmQ0TXpFd1NBfDIwOGI2NjBmZDc5YWQwN2MzZmIwODM3ZGFmZDMxNzQ0ZmNhNWRiOThmYjJkZGIyODM4NGMzNzYyMjAwNjJjNDU
18,"Computador Portátil LENOVO IdeaPad Slim 3 15.6"" Pulgadas 15AMN8 - AMD Ryzen 5 - RAM 16GB - Disco SSD 512GB - Azul",,https://www.alkosto.com/medias/196803810387-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w2ODEwfGltYWdlL3dlYnB8YURrd0wyaG1NQzh4TkRZMk1UZzNNREExT1RVMU1DOHhPVFk0TURNNE1UQXpPRGRmTURBeFh6TXhNRmQ0TXpFd1NBfGU0ZGUyOGE1ZmE5ODI3MzQ0YzVkY2NjMjk5ODEwZDNkNWQ3YmUzZTM5MGJmMGMzMzU5ZjNlY2EzOTBiZTZmMjY
19,"Computador Portátil ACER ASPIRE GO 15.6"" Pulgadas 370J - Intel Core i3 - RAM 16GB - Disco SSD 1TB - Azul",,https://www.alkosto.com/medias/4711474049087-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w4ODM0fGltYWdlL3dlYnB8YUdNMkwyZzNOeTh4TkRZeE9UTTRNRGszTXpVNU9DODBOekV4TkRjME1EUTVNRGczWHpBd01WOHpNVEJYZURNeE1FZ3xkNWI0YjM2M2IyZmUzZDhjYmMzMzkwMTI5MjgwZDM2NTU4NDQ3MGM2M2Q1YTg3OWJlZjYwZWQ3MGMzMDFmYjY0
20,"Computador Portátil LENOVO 15,6"" Pulgadas IdeaPad Slim 3 Táctil - Intel Core i5 - RAM 8GB - Disco SSD 512GB - Gris",,https://www.alkosto.com/medias/197532261341-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w3NjEwfGltYWdlL3dlYnB8YUdVeEwyZzNNQzh4TkRZNE5EY3pOell6TkRNek5DOHhPVGMxTXpJeU5qRXpOREZmTURBeFh6TXhNRmQ0TXpFd1NBfDliZDdmMWU4OWIzZWJiYTA4MWJlNDBkODM0MmM2NTE2MDM5MTg4Zjg0YjVjN2Q4ZGIxNmYyNmRmNTI1NjJmYTQ
21,"Computador Portátil LENOVO 15,6"" Pulgadas IdeaPad Slim 3 - AMD Ryzen 5 - RAM 8GB - Disco SSD 512GB - Azul",,https://www.alkosto.com/medias/196804839974-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w3MzMyfGltYWdlL3dlYnB8YURJeEwyaGtNaTh4TkRZMk1UZzRPRGs1T1RRMU5DOHhPVFk0TURRNE16azVOelJmTURBeFh6TXhNRmQ0TXpFd1NBfDRlMjFmNjdjZTRlMzAxN2VjY2EzNTkyNWQ2N2MxZDIxNWNiZTQwNDUyZDBhYjU3MDgyMTc4MzVlYjk5YmVmMWU
22,"Computador All in One ASUS 23.8"" Pulgadas M3402WFAK - AMD Ryzen 5 - RAM 8GB - Disco SSD 512 GB - Negro",,https://www.alkosto.com/medias/4711387340455-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w2MjQ2fGltYWdlL3dlYnB8YURSbUwyZzROaTh4TkRNMU9EazFOemN4T1RVNE1pODBOekV4TXpnM016UXdORFUxWHpBd01WOHpNVEJYZURNeE1FZ3xiNmFiZjM1Y2FlNWVkYWJjOGQ5MmU1OGViNjlhNGM0NTQ0ODAzYjdlYmI2MTgwMDMxOTFkNjc2ZDM4NmVjYzEx
23,"Computador All in One HP 23.8"" Pulgadas Cr0019la - AMD Ryzen 3 - RAM 8GB - Disco SSD 512 GB - Blanco",,https://www.alkosto.com/medias/198122857500-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w1MDI4fGltYWdlL3dlYnB8YURNeUwyaG1aUzh4TkRVMU9UY3pNVEExTmpZM01DOHhPVGd4TWpJNE5UYzFNREJmTURBeFh6TXhNRmQ0TXpFd1NBfGI1OTI2M2YwODhiMzIwZWZiYmU3NmEyMjliZDg4MDA1MzBmYWM3MDdmOWNmZmFhNDcyZWIzYTA1YzFkMjgxMmQ
24,"Computador Portátil ASUS Vivobook Go 15.6"" Pulgadas E1504FA - AMD Ryzen 5 - RAM 16GB - Disco SSD 1 TB - Negro",,https://www.alkosto.com/medias/4711387480731-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w3MzA4fGltYWdlL3dlYnB8YUdGbUwyaGlOeTh4TkRReE1EVXhOalF6TURnM09DODBOekV4TXpnM05EZ3dOek14WHpBd01WOHpNVEJYZURNeE1FZ3w2MzVjNzYyMWIxZGZmMmQ1OWIxOGQ1Yjg0MzM0M2E2MWY3OTQwMDMxNTMwMzA4MDM5ZWNkM2E3ZTllMDNmYTli
