Nombre del artista,Nombre del album,Nombre de singles,URL,URL imagen album
lllit,Hiperbórea,Kaos Cosmos,https://open.spotify.com/track/7a6N3LlxuLN2XzmTnf581E,https://i.scdn.co/image/ab67616d0000b273f45da560fa522e0174f6259c
lllit,Magickspaces,Atmos For Saturn,https://open.spotify.com/track/1v9ZOh5VGaFuIVOt1J33XV,https://i.scdn.co/image/ab67616d0000b27370a3f32d0c4609d500f91ed2
lllit,Magickspaces,Tonal y Nagual,https://open.spotify.com/track/1592G03flp9TracqIo9Ojo,https://i.scdn.co/image/ab67616d0000b27370a3f32d0c4609d500f91ed2
lllit,Magickspaces,Caricia al Alma,https://open.spotify.com/track/3oN3xIbOD4t211yX0UxFiL,https://i.scdn.co/image/ab67616d0000b27370a3f32d0c4609d500f91ed2
lllit,Magickspaces,Low Tempo,https://open.spotify.com/track/2LDJCDriuBPDRcW57l2yoB,https://i.scdn.co/image/ab67616d0000b27370a3f32d0c4609d500f91ed2
lllit,Magickspaces,Factor Rh,https://open.spotify.com/track/4YLZVlFHwm0F1Tm7iALvFh,https://i.scdn.co/image/ab67616d0000b27370a3f32d0c4609d500f91ed2
lllit,Magickspaces,El Viaje del Pillan,https://open.spotify.com/track/0vFjTXytbM6K06O3Npusrd,https://i.scdn.co/image/ab67616d0000b27370a3f32d0c4609d500f91ed2
lllit,Flames Underwater,Lago,https://open.spotify.com/track/6XVRqfw72EW8p49NSomnPY,https://i.scdn.co/image/ab67616d0000b2734f4fe2e9bd61a1b8d6b96bc6
lllit,Flames Underwater,Paradojas,https://open.spotify.com/track/5gCeAWFFH34ZxmNul89a9F,https://i.scdn.co/image/ab67616d0000b2734f4fe2e9bd61a1b8d6b96bc6
lllit,Flames Underwater,La Cueva,https://open.spotify.com/track/7Ezej7ICjrwOTn6VHopAUJ,https://i.scdn.co/image/ab67616d0000b2734f4fe2e9bd61a1b8d6b96bc6
lllit,Flames Underwater,El Sueño De Davis,https://open.spotify.com/track/1URdlr5LUdbRKchTANm5pU,https://i.scdn.co/image/ab67616d0000b2734f4fe2e9bd61a1b8d6b96bc6
lllit,Flames Underwater,Mahuida,https://open.spotify.com/track/0VYSn5TbKsZEmFxad7ngwA,https://i.scdn.co/image/ab67616d0000b2734f4fe2e9bd61a1b8d6b96bc6
lllit,Eudaimonia,Introspección,https://open.spotify.com/track/2UhgCRNNvv4o0KBDrEXfV5,https://i.scdn.co/image/ab67616d0000b2730a170bb3efb83d6ef03968dd
lllit,Eudaimonia,Cada Ruido,https://open.spotify.com/track/197llI0kqPocEiC8NoTaTO,https://i.scdn.co/image/ab67616d0000b2730a170bb3efb83d6ef03968dd
lllit,Eudaimonia,Colors Orange,https://open.spotify.com/track/0F9avl7NvqNX0IRN49t48J,https://i.scdn.co/image/ab67616d0000b2730a170bb3efb83d6ef03968dd
lllit,Eudaimonia,Cornalina,https://open.spotify.com/track/5KZESsKo1wNQaCUHUaPui8,https://i.scdn.co/image/ab67616d0000b2730a170bb3efb83d6ef03968dd
lllit,Eudaimonia,Creación Mental,https://open.spotify.com/track/1KiCxruaG5dMPWqLQeF4Pc,https://i.scdn.co/image/ab67616d0000b2730a170bb3efb83d6ef03968dd
lllit,Eudaimonia,Golden Teacher,https://open.spotify.com/track/6QQjmdXVYhS1HABG54FBol,https://i.scdn.co/image/ab67616d0000b2730a170bb3efb83d6ef03968dd
lllit,Eudaimonia,Hsup,https://open.spotify.com/track/5NPghSOT0Hf8bTqcAe9gkr,https://i.scdn.co/image/ab67616d0000b2730a170bb3efb83d6ef03968dd
lllit,Eudaimonia,Xenakis,https://open.spotify.com/track/1yi4OhouuHR2tK8WYOuAkt,https://i.scdn.co/image/ab67616d0000b2730a170bb3efb83d6ef03968dd
lllit,Eudaimonia,90'S-Tipe,https://open.spotify.com/track/1KqjIN5lhzBPFBeqOO2z7S,https://i.scdn.co/image/ab67616d0000b2730a170bb3efb83d6ef03968dd
lllit,Without Cloud (LLLIT Remix),Without Cloud - LLLIT Remix,https://open.spotify.com/track/1Tofl3AJVWcjwChP3dI5c5,https://i.scdn.co/image/ab67616d0000b273046e08d72d2d98bb7f78a0b2
lllit,Fuera De Lugar,Fuera De Lugar,https://open.spotify.com/track/01Szrt27VxZMGi3DXrvEDr,https://i.scdn.co/image/ab67616d0000b27364e5b5cb02e284a9515f15c7
lllit,Fuera De Lugar,Fuera De Lugar - Seabra Monkey Remix,https://open.spotify.com/track/19YUdT0rrFr7cdVaAO4Czh,https://i.scdn.co/image/ab67616d0000b27364e5b5cb02e284a9515f15c7
lllit,Fuera De Lugar,Fuera De Lugar - BLOMAQ Remix,https://open.spotify.com/track/7n9qt4pfBPXmHbc5G0KtJ2,https://i.scdn.co/image/ab67616d0000b27364e5b5cb02e284a9515f15c7
lllit,Fuera De Lugar,Fuera De Lugar - Hopler Route Remix,https://open.spotify.com/track/6orS2Qd91lY0pdDxLqOl3R,https://i.scdn.co/image/ab67616d0000b27364e5b5cb02e284a9515f15c7
lllit,Fuera De Lugar,Fuera De Lugar - Radio Badjay Remix,https://open.spotify.com/track/4Ss86N8yUCdoASfXdYZLoc,https://i.scdn.co/image/ab67616d0000b27364e5b5cb02e284a9515f15c7
lllit,Murmullo,Murmullo,https://open.spotify.com/track/2zm00nUnVZS9eixSiBZOhh,https://i.scdn.co/image/ab67616d0000b2732399c81f14ba5a76242b03f2
lllit,Murmullo,Murmullo - Ton an Ton Remix,https://open.spotify.com/track/3jEvka8XarC95pcRnCQklW,https://i.scdn.co/image/ab67616d0000b2732399c81f14ba5a76242b03f2
lllit,Murmullo,Murmullo - Re.vila Remix,https://open.spotify.com/track/3SOxomjladqiWlCGJMa4tZ,https://i.scdn.co/image/ab67616d0000b2732399c81f14ba5a76242b03f2
lllit,Murmullo,Murmullo - Gambusia,https://open.spotify.com/track/4sIjptaUrSVjHD8anwwX7E,https://i.scdn.co/image/ab67616d0000b2732399c81f14ba5a76242b03f2
lllit,Tuberia,Tubería,https://open.spotify.com/track/0Stf5t6FeINia89PkRri9E,https://i.scdn.co/image/ab67616d0000b2739481059b3f3500f1dcb76cf3
lllit,Tuberia,Tubería - Gambusia Remix,https://open.spotify.com/track/5vMfblC6rvQtBTP1iZ9YCR,https://i.scdn.co/image/ab67616d0000b2739481059b3f3500f1dcb76cf3
lllit,Tuberia,Tubería - LeopoldoIII Remix,https://open.spotify.com/track/4ZpTlbCDjemaA4gJ2wyw5N,https://i.scdn.co/image/ab67616d0000b2739481059b3f3500f1dcb76cf3
lllit,Tuberia,Tubería - Retouched Remix,https://open.spotify.com/track/5STnx7wQVwpSwUkXgW6FMj,https://i.scdn.co/image/ab67616d0000b2739481059b3f3500f1dcb76cf3
lllit,Monada,Monada - Original,https://open.spotify.com/track/2B5VNiP4lT3hLeUowhjqCv,https://i.scdn.co/image/ab67616d0000b27390b7f4f2a204f61e26c94357
lllit,Co2 (LLLIT Remix),Co2 - LLLIT Remix,https://open.spotify.com/track/1DpLjJxLflSk8QkU93CMlo,https://i.scdn.co/image/ab67616d0000b2734e8a444e6a70cae69bc312e9
lllit,Mimosa,Mimosa,https://open.spotify.com/track/215FCF1t0w0S5eo86KNUSu,https://i.scdn.co/image/ab67616d0000b273b379f168d98e07e7f1f79c8b
lllit,Mimosa,Mimosa - Radio Badjay Remix,https://open.spotify.com/track/69ahNoSx48clf48MJzd3Sq,https://i.scdn.co/image/ab67616d0000b273b379f168d98e07e7f1f79c8b
lllit,Mimosa,Mimosa - LeopoldoIII Remix,https://open.spotify.com/track/4OvTj8c8YQe4KBj6HdASgs,https://i.scdn.co/image/ab67616d0000b273b379f168d98e07e7f1f79c8b
lllit,Mimosa,Mimosa - Kazra X Aztryd Remix,https://open.spotify.com/track/7eZRKGtcpmvSgb4apJaLcO,https://i.scdn.co/image/ab67616d0000b273b379f168d98e07e7f1f79c8b
lllit,Lo Trumpet,Lo Trumpet,https://open.spotify.com/track/3P9IN0ZDGxW2OgkWoRrBoF,https://i.scdn.co/image/ab67616d0000b273509b5156ab924d195f77f03b
lllit,Lo Trumpet,Lo Trumpet - CK Remix,https://open.spotify.com/track/4CQBnskzrcGKr7rJQvquLK,https://i.scdn.co/image/ab67616d0000b273509b5156ab924d195f77f03b
lllit,Lo Trumpet,Lo Trumpet - LeopoldoIII Remix,https://open.spotify.com/track/0V7taBW7zNG96MlbF4RA86,https://i.scdn.co/image/ab67616d0000b273509b5156ab924d195f77f03b
lllit,Lo Trumpet,Lo Trumpet - Autotel Remix,https://open.spotify.com/track/6y5xSUQXrN4bLo5uBQonbq,https://i.scdn.co/image/ab67616d0000b273509b5156ab924d195f77f03b
lllit,Distopia Sonora,No Me Pregunti a Mi,https://open.spotify.com/track/76PweWSvLEkaGGhKetakjx,https://i.scdn.co/image/ab67616d0000b273cb64236820592dac667cb7df
lllit,Distopia Sonora,Zarpando en Niebla,https://open.spotify.com/track/3X2yZH8TOwmwN2yFEEcF5u,https://i.scdn.co/image/ab67616d0000b273cb64236820592dac667cb7df
lllit,Distopia Sonora,Bruja,https://open.spotify.com/track/6a2wBMzklH4erKdXcK7FFT,https://i.scdn.co/image/ab67616d0000b273cb64236820592dac667cb7df
lllit,Dark Sun mix (lllit Remix),Dark Sun mix - lllit Remix,https://open.spotify.com/track/0h90SpYX9rdDPEwF7eTqVt,https://i.scdn.co/image/ab67616d0000b273c04b6415e8450de00b68f0c3
lllit,Floripondio,Brugmansia,https://open.spotify.com/track/60VaVPXADn9MknFPs7RHOa,https://i.scdn.co/image/ab67616d0000b273e375f1da849791b6648b606c
lllit,Floripondio,Datureae,https://open.spotify.com/track/7gWK3Rlv1MDeLMzpxziczU,https://i.scdn.co/image/ab67616d0000b273e375f1da849791b6648b606c
lllit,Floripondio,Magnoliopsida,https://open.spotify.com/track/7mjldCGXRnPE7LAruewfYO,https://i.scdn.co/image/ab67616d0000b273e375f1da849791b6648b606c
lllit,Floripondio,Solanaceae,https://open.spotify.com/track/4o4qc8xmgrEnlAv3sz0r8Y,https://i.scdn.co/image/ab67616d0000b273e375f1da849791b6648b606c
lllit,80 Grados,80 Grados,https://open.spotify.com/track/2mzjyViLIY5UaKFtlT3FXm,https://i.scdn.co/image/ab67616d0000b273259379bd25a427f6b0aa93eb
lllit,80 Grados,80 Grados - Konomo Remix,https://open.spotify.com/track/1E42mXy6ll4x7iTlh36VQV,https://i.scdn.co/image/ab67616d0000b273259379bd25a427f6b0aa93eb
lllit,80 Grados,80 Grados - Oldschool Dubtechno .Producer Remix,https://open.spotify.com/track/2nLSSiogzXmsV52UneSIII,https://i.scdn.co/image/ab67616d0000b273259379bd25a427f6b0aa93eb
lllit,80 Grados,80 Grados - Noosa Sound System Dub Remix,https://open.spotify.com/track/14qZRSa1BG9uaWoTgooIv1,https://i.scdn.co/image/ab67616d0000b273259379bd25a427f6b0aa93eb
lllit,80 Grados,80 Grados - Re.vila Remix,https://open.spotify.com/track/2IfEVDQYYLTuEjkvf3gCuL,https://i.scdn.co/image/ab67616d0000b273259379bd25a427f6b0aa93eb
lllit,80 Grados,80 Grados - Xyiz Remix,https://open.spotify.com/track/7xaki0kYnNqmAMb6Z5N2XM,https://i.scdn.co/image/ab67616d0000b273259379bd25a427f6b0aa93eb
lllit,Now Breathe (LLLIT Remix),Now Breathe - LLLIT Remix,https://open.spotify.com/track/7fb0WLJq6TL1YT32G1OZQV,https://i.scdn.co/image/ab67616d0000b273dca9376ad647ff5ab405ea82
lllit,Morning After Rave (LLLIT Remix),Morning After Rave - LLLIT Remix,https://open.spotify.com/track/4Mh7C4GCsyGwYhBlhPnIwB,https://i.scdn.co/image/ab67616d0000b27389071900708c9e711f2e6207
lllit,Generación De Egos Autodeclarados,Habitos Efimeros,https://open.spotify.com/track/7IQATrJVedRsiYJDNSVkLG,https://i.scdn.co/image/ab67616d0000b2739b1f6d8ee528ec2b3a4d0387
lllit,Generación De Egos Autodeclarados,Miopia Espiritual,https://open.spotify.com/track/6vreL2iqiuDdLKrjht8peD,https://i.scdn.co/image/ab67616d0000b2739b1f6d8ee528ec2b3a4d0387
lllit,Generación De Egos Autodeclarados,Individuacion,https://open.spotify.com/track/3gDk2f2cQ8QdmDIl3faoO1,https://i.scdn.co/image/ab67616d0000b2739b1f6d8ee528ec2b3a4d0387
lllit,November 22,November 22,https://open.spotify.com/track/3s81LRW9Zwnccm0NZbHYO7,https://i.scdn.co/image/ab67616d0000b273ae3d267ea9979fb34b259ba1
lllit,Intimo Baile De Las Creencias Y Emociones,Alborada - Radio Version,https://open.spotify.com/track/6XfGHiKSYe6cPKYi1fs5S7,https://i.scdn.co/image/ab67616d0000b273dc32f566fd8fb33406da02ed
lllit,Intimo Baile De Las Creencias Y Emociones,Caleuche - Radio Version,https://open.spotify.com/track/2StE3qmvVv33K45QBsHv5A,https://i.scdn.co/image/ab67616d0000b273dc32f566fd8fb33406da02ed
lllit,Intimo Baile De Las Creencias Y Emociones,Creencias Y Emociones - Radio Version,https://open.spotify.com/track/4OLgmCl7p9dJ5mPARERSRL,https://i.scdn.co/image/ab67616d0000b273dc32f566fd8fb33406da02ed
lllit,Intimo Baile De Las Creencias Y Emociones,Cronopios - Radio Version,https://open.spotify.com/track/4OoFTmP18PCjACpBvkpGx7,https://i.scdn.co/image/ab67616d0000b273dc32f566fd8fb33406da02ed
lllit,Latvian Streets (LLLIT Remix),Latvian Streets - LLLIT Remix,https://open.spotify.com/track/2kNtQupew1b82geSBS5Wh9,https://i.scdn.co/image/ab67616d0000b273bd291fb298e6b0b13c2bb514
lllit,Cubensis,Cubensis,https://open.spotify.com/track/2VUol6Zqv4uDERkNJxfg8D,https://i.scdn.co/image/ab67616d0000b2735a0379807bf1bff4a773af5a
lllit,Cubensis,Cubensis - Juu Juu Remix,https://open.spotify.com/track/7fU2foehYS8ieZKbYMf0Uf,https://i.scdn.co/image/ab67616d0000b2735a0379807bf1bff4a773af5a
lllit,Cubensis,Cubensis - Dott. Santafeo Remix,https://open.spotify.com/track/0AdaxpR3Us84oRnPVJSypH,https://i.scdn.co/image/ab67616d0000b2735a0379807bf1bff4a773af5a
lllit,Cubensis,Cubensis - Holm Torrance Remix,https://open.spotify.com/track/0SQxPosy25W84bO95Ela6T,https://i.scdn.co/image/ab67616d0000b2735a0379807bf1bff4a773af5a
lllit,Cubensis,Cubensis - Oldschool Dubtechno .Producer Remix,https://open.spotify.com/track/7fohbpoXrZcJjQsVKqJlrA,https://i.scdn.co/image/ab67616d0000b2735a0379807bf1bff4a773af5a
lllit,Alienating Dub (LLLIT Remix),Alienating Dub - LLLIT Remix,https://open.spotify.com/track/3Rs6PnGQYc1taahjO2fhpl,https://i.scdn.co/image/ab67616d0000b2734de8e08d790d9c337851ea42
Nae:Tek,Dub Techno Label Mix October 24 (DJ Mix),It Went Too Far - Mixed,https://open.spotify.com/track/4Q4FPDamYYEMwnRt2vuc91,https://i.scdn.co/image/ab67616d0000b273c623dcbccbbe8cb41db604d8
Nae:Tek,Dub Techno Label Mix October 24 (DJ Mix),No Trespassing - Mixed,https://open.spotify.com/track/1ylUPLd2P971XinfGb4tSx,https://i.scdn.co/image/ab67616d0000b273c623dcbccbbe8cb41db604d8
Nae:Tek,Dub Techno Label Mix October 24 (DJ Mix),Worried - Mixed,https://open.spotify.com/track/5fIRi3KIiwuMWs3J3fGfUd,https://i.scdn.co/image/ab67616d0000b273c623dcbccbbe8cb41db604d8
Nae:Tek,Dub Techno Label Mix October 24 (DJ Mix),Basic Rule - Mixed,https://open.spotify.com/track/1zynldoLY6PAKK1eobO2oj,https://i.scdn.co/image/ab67616d0000b273c623dcbccbbe8cb41db604d8
Nae:Tek,Dub Techno Label Mix October 24 (DJ Mix),Dusky Chords 02 - Mixed,https://open.spotify.com/track/5GVDFwBOs5d6TKq28sQteR,https://i.scdn.co/image/ab67616d0000b273c623dcbccbbe8cb41db604d8
Nae:Tek,Dub Techno Label Mix October 24 (DJ Mix),Mascavo - Mixed,https://open.spotify.com/track/3S3TAa9DJWqtIFrsp1mplI,https://i.scdn.co/image/ab67616d0000b273c623dcbccbbe8cb41db604d8
Nae:Tek,Dub Techno Label Mix October 24 (DJ Mix),Andromeda - Mixed,https://open.spotify.com/track/15tN3ElN0N9WJP7AWu64kl,https://i.scdn.co/image/ab67616d0000b273c623dcbccbbe8cb41db604d8
Nae:Tek,Dub Techno Label Mix October 24 (DJ Mix),Condor - Mixed,https://open.spotify.com/track/0ZwK6He9IhLt18eOtkU8dS,https://i.scdn.co/image/ab67616d0000b273c623dcbccbbe8cb41db604d8
Nae:Tek,Dub Waves 2.0 (DJ Mix),Conversion - Giuliano Rodrigues Rmx - Mixed,https://open.spotify.com/track/6vy7TFjRoCQPU7vJZRiw8g,https://i.scdn.co/image/ab67616d0000b27339fdc433755610064da46936
Nae:Tek,Dub Waves 2.0 (DJ Mix),Sensacion Abstracta - Radio Badjay Rmx - Mixed,https://open.spotify.com/track/7ztQDLkxyMkihmZlNEQtI0,https://i.scdn.co/image/ab67616d0000b27339fdc433755610064da46936
Nae:Tek,Dub Waves 2.0 (DJ Mix),The Vision - Mixed,https://open.spotify.com/track/18oMUJTaYYVJrgy0Pk2tDT,https://i.scdn.co/image/ab67616d0000b27339fdc433755610064da46936
