Propina Noche;
Mesas de Juego;
Máquinas;$95.100
Total;$95.100
Total Punto * Noche;$126
Total Por Noche;$2.519
18;$2.267
16;$2.015
14;$1.763
12;$1.512
10;$1.260
8;$1.008
6;$756
4;$504
;
;
;
MIERCOLES;
;
;25
